I_D,FLAG_TSUNA,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPT,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS,DEATHS_DES,MISSING,MISSING_DE,INJURIES,INJURIES_D,DAMAGE_MIL,DAMAGE_DES,HOUSES_DES,HOUSES_D_1,HOUSES_DAM,HOUSES_D_2,TOTAL_DEAT,TOTAL_DE_1,TOTAL_MISS,TOTAL_MI_1,TOTAL_INJU,TOTAL_IN_1,TOTAL_DAMA,TOTAL_DA_1,TOTAL_HOUS,TOTAL_HO_1,TOTAL_HO_2,TOTAL_HO_3
2713,,1905,5,18,13,45,,60,7.500000000000000,,,,,,7.500000000000000,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-4.000000000000000,149.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2715,,1905,6,1,4,42,,20,6.600000000000000,,,,,,6.600000000000000,10,ALBANIA,,ALBANIA:  SHKODER,42.100000000000001,19.600000000000001,130,120,3,,,,,23.800000000000001,3,,,,,,,,,,,,,,,,
2717,,1905,6,2,5,39,42,100,7.800000000000000,,7.800000000000000,,,,,,JAPAN,,JAPAN:  AKI,34.000000000000000,132.000000000000000,30,11,1,,,,,,1,59,2,59,2,11,1,,,,,,1,59,2,,
2718,,1905,6,30,17,7,,60,7.600000000000000,,,,,,7.600000000000000,,KIRIBATI,,KIRIBATI:  PHOENIX ISLANDS,-1.000000000000000,-168.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2719,Tsu,1905,7,6,16,21,,33,7.000000000000000,,7.000000000000000,,,,,,JAPAN,,JAPAN:  OFF FUKUSHIMA,37.399999999999999,142.599999999999994,30,,,,,,,,,,,,,57,2,,,,,,,,,,
2728,,1905,8,26,14,45,,,,,,,,,,12,ITALY,,ITALY:  CENTRAL,42.100000000000001,13.900000000000000,130,,,,,,,,,,,,,,,,,,,,,,,,
2729,,1905,9,1,2,45,,230,7.500000000000000,,,,,,7.500000000000000,,JAPAN,,JAPAN:  HOKKAIDO,45.000000000000000,143.000000000000000,30,,,,,,,,,,,,,,,,,,,,,,,,
2732,Tsu,1905,9,8,1,43,11,15,7.100000000000000,,7.100000000000000,,,,,11,ITALY,,"ITALY:  MONTELEONE, TROPEA, MONTE PORO",38.670000000000002,16.070000000000000,130,557,3,,,2000,4,,4,6700,4,,,557,3,,,2000,4,,4,6700,4,,
2735,,1905,9,15,6,2,,60,7.800000000000000,,,,,,7.800000000000000,,RUSSIA,,RUSSIA:  KOMANDORSKY ISLAND,53.000000000000000,164.000000000000000,50,,,,,,,,,,,,,,,,,,,,,,,,
6506,Tsu,1905,10,4,22,29,,,5.100000000000000,,5.100000000000000,,,,,7,RUSSIA,,RUSSIA:  BLACK SEA,44.500000000000000,37.500000000000000,40,,,,,,,,,,,,,,,,,,,,,,,,
2737,Tsu,1905,10,21,11,1,37,60,7.500000000000000,,7.500000000000000,,,,,,GEORGIA,,GEORGIA:  CAUCASUS,42.000000000000000,42.000000000000000,40,,,,,,,,,,,,,,,,,,,,,,,,
8109,,1905,11,8,3,27,,,5.000000000000000,,5.000000000000000,,,,,6,CHINA,,CHINA:  SICHUAN PROVINCE,29.300000000000001,104.799999999999997,30,13,1,,,,1,,1,3,1,3,1,13,1,,,,1,,1,3,1,,
